Governate_Name_English,Governate_Name_Arabic,Governate_Latitude,Governate_Longitude,Wallyat_Name_English,Wallyat_Name_Arabic,Wallyat_Latitude,Wallyat_Longitude,Village_Name_English,Village_Name_Arabic,Village_Latitude,Village_Longitude
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Abu Nukhaylah,ابونخيله,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Ad Daqiq,الدقيق,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Al Baddah,البادة,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Al Balqaah,البلقعة,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Al Buraimi Als sinaeia,البريمي الصناعية,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Al Buraymi,البريمى,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Al Fayyad,الفياض,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Al Ghubayrah,الغبيرة,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Al Ghubrah,الغبرة,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Al Ghurayfah,الغريفة,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Al Harim,الحريم,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Al hawil Al shamisi,الحويل الشامسي,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Al Hayl,الحيل,24.2815207,55.8245558
Al-Buraimi,محافظة البريمي,24.1671413,56.1142253,Al-Buraimi,الـبـريـمـي,24.2815207,55.8245558,Al Hiyul / Al Mahruqah,الحيول / المحروقة,24.2815207,55.8245558
